food_category,food_name,per_100_ml_or_gm,cal_per_100_ml_or_gms,kj_per_100_ml_or_gms,per_serving,cal_per_serving,kj_per_serving,per_ounces,cal_per_ounces,kj_per_ounces
Fruit Juices,Jus d'açaï,100ml,58 cal,244 kJ,8 once (240 ml),139 cal,586 kJ,1 once (30 ml),17 cal,73 kJ
Fruit Juices,Aloe Vera,100ml,44 cal,185 kJ,8 once (240 ml),106 cal,444 kJ,1 once (30 ml),13 cal,56 kJ
Fruit Juices,Jus de pomme,100ml,46 cal,193 kJ,8 once (240 ml),110 cal,463 kJ,1 once (30 ml),14 cal,58 kJ
Fruit Juices,Nectar d'abricot,100ml,56 cal,235 kJ,8 once (240 ml),134 cal,564 kJ,1 once (30 ml),17 cal,71 kJ
Fruit Juices,Jus de banane,100ml,50 cal,210 kJ,8 once (240 ml),120 cal,504 kJ,1 once (30 ml),15 cal,63 kJ
Fruit Juices,Jus de mûre,100ml,48 cal,202 kJ,8 once (240 ml),115 cal,485 kJ,1 once (30 ml),14 cal,61 kJ
Fruit Juices,Jus de mûres de Boysen,100ml,54 cal,227 kJ,8 once (240 ml),130 cal,545 kJ,1 once (30 ml),16 cal,68 kJ
Fruit Juices,Capri-Sun,100ml,41 cal,172 kJ,1 capri-sun (200 ml),82 cal,344 kJ,1 once (30 ml),12 cal,52 kJ
Fruit Juices,Jus de carotte,100ml,40 cal,168 kJ,8 once (240 ml),96 cal,403 kJ,1 once (30 ml),12 cal,50 kJ
Fruit Juices,Thé à la camomille,100ml,0 cal,0 kJ,8 once (240 ml),0 cal,0 kJ,1 once (30 ml),0 cal,0 kJ
Fruit Juices,Jus de cerise,100ml,45 cal,189 kJ,8 once (240 ml),108 cal,454 kJ,1 once (30 ml),14 cal,57 kJ
Fruit Juices,Clamato,100ml,60 cal,252 kJ,8 once (240 ml),144 cal,605 kJ,1 once (30 ml),18 cal,76 kJ
Fruit Juices,Eau de coco,100ml,19 cal,80 kJ,8 once (240 ml),46 cal,192 kJ,1 once (30 ml),6 cal,24 kJ
Fruit Juices,Raisin concorde,100ml,71 cal,298 kJ,8 once (240 ml),170 cal,715 kJ,1 once (30 ml),21 cal,89 kJ
Fruit Juices,Jus de pomme aux canneberges,100ml,67 cal,281 kJ,8 once (240 ml),161 cal,674 kJ,1 once (30 ml),20 cal,84 kJ
Fruit Juices,Jus de canneberge et de raisin,100ml,71 cal,298 kJ,8 once (240 ml),170 cal,715 kJ,1 once (30 ml),21 cal,89 kJ
Fruit Juices,Jus de canneberge,100ml,46 cal,193 kJ,8 once (240 ml),110 cal,463 kJ,1 once (30 ml),14 cal,58 kJ
Fruit Juices,Jus de concombre,100ml,10 cal,42 kJ,8 once (240 ml),24 cal,101 kJ,1 once (30 ml),3 cal,13 kJ
Fruit Juices,Jus de groseille,100ml,48 cal,202 kJ,8 once (240 ml),115 cal,485 kJ,1 once (30 ml),14 cal,61 kJ
Fruit Juices,Boisson énergisante,100ml,87 cal,365 kJ,12 once (355 ml),309 cal,1296 kJ,1 once (30 ml),26 cal,110 kJ
Fruit Juices,Fruitopia,100ml,110 cal,462 kJ,8 once (240 ml),264 cal,1109 kJ,1 once (30 ml),33 cal,139 kJ
Fruit Juices,Jus de raisin,100ml,60 cal,252 kJ,8 once (240 ml),144 cal,605 kJ,1 once (30 ml),18 cal,76 kJ
Fruit Juices,Jus de pamplemousse,100ml,46 cal,193 kJ,8 once (240 ml),110 cal,463 kJ,1 once (30 ml),14 cal,58 kJ
Fruit Juices,Jus de citron,100ml,21 cal,88 kJ,8 once (240 ml),50 cal,211 kJ,1 once (30 ml),6 cal,26 kJ
Fruit Juices,Jus de citron vert,100ml,21 cal,88 kJ,8 once (240 ml),50 cal,211 kJ,1 once (30 ml),6 cal,26 kJ
Fruit Juices,Lassi à la mangue,100ml,66 cal,277 kJ,8 once (240 ml),158 cal,665 kJ,1 once (30 ml),20 cal,83 kJ
Fruit Juices,Jus d'orange,100ml,46 cal,193 kJ,8 once (240 ml),110 cal,463 kJ,1 once (30 ml),14 cal,58 kJ
Fruit Juices,Jus de papaye,100ml,58 cal,244 kJ,8 once (240 ml),139 cal,586 kJ,1 once (30 ml),17 cal,73 kJ
Fruit Juices,Jus de fruit de la passion,100ml,48 cal,202 kJ,8 once (240 ml),115 cal,485 kJ,1 once (30 ml),14 cal,61 kJ
Fruit Juices,Jus de pêche,100ml,54 cal,227 kJ,8 once (240 ml),130 cal,545 kJ,1 once (30 ml),16 cal,68 kJ
Fruit Juices,Nectar de pêche,100ml,54 cal,227 kJ,8 once (240 ml),130 cal,545 kJ,1 once (30 ml),16 cal,68 kJ
Fruit Juices,Jus de poire,100ml,60 cal,252 kJ,8 once (240 ml),144 cal,605 kJ,1 once (30 ml),18 cal,76 kJ
Fruit Juices,Nectar de poire,100ml,60 cal,252 kJ,8 once (240 ml),144 cal,605 kJ,1 once (30 ml),18 cal,76 kJ
Fruit Juices,Jus d'ananas,100ml,53 cal,223 kJ,8 once (240 ml),127 cal,535 kJ,1 once (30 ml),16 cal,67 kJ
Fruit Juices,Jus d'ananas et d'orange,100ml,50 cal,210 kJ,8 once (240 ml),120 cal,504 kJ,1 once (30 ml),15 cal,63 kJ
Fruit Juices,Jus de prune,100ml,71 cal,298 kJ,8 once (240 ml),170 cal,715 kJ,1 once (30 ml),21 cal,89 kJ
Fruit Juices,Jus de grenade,100ml,66 cal,277 kJ,8 once (240 ml),158 cal,665 kJ,1 once (30 ml),20 cal,83 kJ
Fruit Juices,Jus de choucroute,100ml,14 cal,59 kJ,8 once (240 ml),34 cal,142 kJ,1 once (30 ml),4 cal,18 kJ
Fruit Juices,Jus de mandarine,100ml,43 cal,181 kJ,8 once (240 ml),103 cal,434 kJ,1 once (30 ml),13 cal,54 kJ
Fruit Juices,Jus de tomate,100ml,17 cal,71 kJ,8 once (240 ml),41 cal,170 kJ,1 once (30 ml),5 cal,21 kJ
Fruit Juices,Jus de légumes,100ml,21 cal,88 kJ,8 once (240 ml),50 cal,211 kJ,1 once (30 ml),6 cal,26 kJ
Fruit Juices,Jus de raisin blanc,100ml,75 cal,315 kJ,8 once (240 ml),180 cal,756 kJ,1 once (30 ml),23 cal,95 kJ
Alcoholic Drinks & Beverages,Absinthe,100ml,348 cal,1462 kJ,1 1/2 once (44 ml),153 cal,643 kJ,1 once (30 ml),104 cal,439 kJ
Alcoholic Drinks & Beverages,Amaretto,100ml,310 cal,1302 kJ,1 shot (25 ml),78 cal,326 kJ,1 once (30 ml),93 cal,391 kJ
Alcoholic Drinks & Beverages,Applejack,100ml,233 cal,979 kJ,1 1/2 once (44 ml),103 cal,431 kJ,1 once (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Asti,100ml,138 cal,580 kJ,1 verre (100 ml),138 cal,580 kJ,1 once (30 ml),41 cal,174 kJ
Alcoholic Drinks & Beverages,Baileys,100ml,327 cal,1373 kJ,1 1/2 once (44 ml),144 cal,604 kJ,1 once (30 ml),98 cal,412 kJ
Alcoholic Drinks & Beverages,Crème irlandaise Bailey's,100ml,327 cal,1373 kJ,1 1/2 once (44 ml),144 cal,604 kJ,1 once (30 ml),98 cal,412 kJ
Alcoholic Drinks & Beverages,Bière,100ml,43 cal,181 kJ,1 canette(355 ml),153 cal,643 kJ,1 once (30 ml),13 cal,54 kJ
Alcoholic Drinks & Beverages,Curaçao bleu,100ml,243 cal,1021 kJ,1 once (30 ml),73 cal,306 kJ,1 once (30 ml),73 cal,306 kJ
Alcoholic Drinks & Beverages,Bourbon,100ml,233 cal,979 kJ,1 1/2 once (44 ml),103 cal,431 kJ,1 once (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Brandy,100ml,213 cal,895 kJ,1 1/2 once (44 ml),94 cal,394 kJ,1 once (30 ml),64 cal,269 kJ
Alcoholic Drinks & Beverages,Whisky canadien,100ml,216 cal,907 kJ,1 1/2 once (44 ml),95 cal,399 kJ,1 once (30 ml),65 cal,272 kJ
Alcoholic Drinks & Beverages,Chambord,100ml,348 cal,1462 kJ,1 verre (150 ml),522 cal,2193 kJ,1 once (30 ml),104 cal,439 kJ
Alcoholic Drinks & Beverages,Champagne,100ml,75 cal,315 kJ,1 verre (100 ml),75 cal,315 kJ,1 once (30 ml),23 cal,95 kJ
Alcoholic Drinks & Beverages,Cidre,100ml,49 cal,206 kJ,1 verre (150 ml),74 cal,309 kJ,1 once (30 ml),15 cal,62 kJ
Alcoholic Drinks & Beverages,Cognac,100ml,235 cal,987 kJ,1 1/2 once (44 ml),103 cal,434 kJ,1 once (30 ml),71 cal,296 kJ
Alcoholic Drinks & Beverages,Cointreau,100ml,320 cal,1344 kJ,1 1/2 once (44 ml),141 cal,591 kJ,1 once (30 ml),96 cal,403 kJ
Alcoholic Drinks & Beverages,Drambuie,100ml,358 cal,1504 kJ,1 1/2 once (44 ml),158 cal,662 kJ,1 once (30 ml),107 cal,451 kJ
Alcoholic Drinks & Beverages,Frangelico,100ml,238 cal,1000 kJ,1 1/2 once (44 ml),105 cal,440 kJ,1 once (30 ml),71 cal,300 kJ
Alcoholic Drinks & Beverages,Gin,100ml,263 cal,1105 kJ,1 shot (25 ml),66 cal,276 kJ,1 once (30 ml),79 cal,332 kJ
Alcoholic Drinks & Beverages,Glenfiddich,100ml,230 cal,966 kJ,1 1/2 once (44 ml),101 cal,425 kJ,1 once (30 ml),69 cal,290 kJ
Alcoholic Drinks & Beverages,Grand Marnier,100ml,253 cal,1063 kJ,1 1/2 once (44 ml),111 cal,468 kJ,1 once (30 ml),76 cal,319 kJ
Alcoholic Drinks & Beverages,Whisky irlandais,100ml,233 cal,979 kJ,1 1/2 once (44 ml),103 cal,431 kJ,1 once (30 ml),70 cal,294 kJ
Alcoholic Drinks & Beverages,Jack Daniel's,100ml,146 cal,613 kJ,1 1/2 once (44 ml),64 cal,270 kJ,1 once (30 ml),44 cal,184 kJ
Alcoholic Drinks & Beverages,Jagermeister,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 once (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,Jim Beam,100ml,222 cal,932 kJ,1 1/2 once (44 ml),98 cal,410 kJ,1 once (30 ml),67 cal,280 kJ
Alcoholic Drinks & Beverages,Kahlua,100ml,180 cal,756 kJ,1 shot (25 ml),45 cal,189 kJ,1 once (30 ml),54 cal,227 kJ
Alcoholic Drinks & Beverages,Liqueur,100ml,250 cal,1050 kJ,1 shot (25 ml),63 cal,263 kJ,1 once (30 ml),75 cal,315 kJ
Alcoholic Drinks & Beverages,Midori,100ml,267 cal,1121 kJ,1 once (30 ml),80 cal,336 kJ,1 once (30 ml),80 cal,336 kJ
Alcoholic Drinks & Beverages,Punch,100ml,62 cal,260 kJ,1 tasse (237 ml),147 cal,616 kJ,1 once (30 ml),19 cal,78 kJ
Alcoholic Drinks & Beverages,Rhum,100ml,231 cal,970 kJ,1 1/2 once (44 ml),102 cal,427 kJ,1 once (30 ml),69 cal,291 kJ
Alcoholic Drinks & Beverages,Sambuca,100ml,333 cal,1399 kJ,1 shot (25 ml),83 cal,350 kJ,1 once (30 ml),100 cal,420 kJ
Alcoholic Drinks & Beverages,Sangria,100ml,96 cal,403 kJ,1 verre (250 ml),240 cal,1008 kJ,1 once (30 ml),29 cal,121 kJ
